CustomerID,CustomerName,MemberCategory,Age,Gender,AmountSpent,Address,City,CountryCode,ContactTitle,PhoneNumber
1000,Lou Anna Tan,A,29,F,4.14,"Blk 26, Telok Blangah Crescent #22-87, Singapore 0409",Frankfurt,GER,Ms,2732287
1001,Wong Sook Huey,A,37,F,67.1,"Blk 1007 Teresa Ville Lower Delta Road #06-02, Singapore 0410",Singapore,SIN,Ms,2740975
1002,Ng Choon Seng,C,23,M,63.18,"Blk 63 Bishan St 21 #06-01, Singapore 1057",Toronto,CAN,Mr,2580742
1003,Chew Teck Kuan,C,63,M,64.49,"Blk 109 Bedok North Rd #06-2316, Singapore 1046",Singapore,SIN,Mr,4434675
1111,Steven Ou,B,61,M,44.51,"Blk 244, Bukit Panjang Ring Road, #11-184, Singapore 2367",Rio ,BRA,Mr,7620324
1634,Sridharan Jayanthi,A,55,F,61.51,"Blk 232, Jurong East Street 21 #02-436, Singapore 1234",Singapore,SIN,Ms,6658037
1681,Terence Lim,C,30,M,59.62,"Blk 99, Balestier Road, #12-168, Singapore 1232",Columbo,SLR,Mr,3551385
1810,Vanessa Ong,C,32,F,80.97,"Blk 20, Eunos Crescent, #04-2965, Singapore 1400",Singapore,SIN,Ms,7487923
1811,Koh Ting Ting,B,57,F,21.52,"Blk 61, Upper Paya Lebar Road, Singapore 1953",Singapore,SIN,Ms,2827208
1818,Chionh Choon Lee,A,57,M,7.13,"Blk 89, Zion Road, #16-137, Singapore 0316",Singapore,SIN,Mr,7333100
2131,Jon,A,64,F,83.45,"Block 88 Demsey Road #01-01, Singapore 1234",Zurich,SWZ,Ms,7654321
2233,Too Siew Hong,B,35,F,21.83,"Blk 749, Pasir Ris St 71, #09-66, Singapore 1651",Singapore,SIN,Ms,5847682
2270,Chao Tah Jin Alex,C,22,M,87.07,"Blk 12, Dover Close East, #08-208, Singapore 1027",Singapore,SIN,Mr,8721768
2323,Richard Kwan,A,26,M,89.52,"Blk 27, Marine Crescent, #05-05, Singapore 2345",Singapore,SIN,Mr,2352345
2345,Ng Teck Kie Anthony,A,56,M,73.93,"Blk 105, Gangsa Road, #02-103, Singapore 2367",Singapore,SIN,Mr,7690237
2626,Steven Teo,A,56,M,8.17,"Blk 253, Kim Keat Link, #01-126 Singapore 2345",Singapore,SIN,Mr,3533819
